image_id,extracted_text,,,
nb101.PNG,267.5,,,
nb102.PNG,957.65,,,
nb103.PNG,895,,,
nb104.PNG,28,,,
nb105.PNG,1200,,,
nb106.PNG,250,,,
nb107.PNG,79201,,,
nb108.PNG,96.03,,,
nb109.PNG,77048,,,
nb110.PNG,79201,,,
nb111.PNG,160,,,
nb112.PNG,50,,,
nb114.PNG,95089,,,
nb115.PNG,150,,,
nb116.PNG,180,,,
nb117.PNG,80,,,
nb118.PNG,2023,,,
nb119.PNG,9,,,
nb120.PNG,320,,,
nb121.PNG,1284,,,
nb122.PNG,93.458,,,
nb123.PNG,6,,,
nb125.PNG,150,,,
nb126.PNG,85055,,,
nb127.PNG,2023,,,
nb128.PNG,3006,,,
nb129.PNG,150,,,
nb130.PNG,98064,,,
nb131.PNG,23,,,
nb132.PNG,5563,,,
nb133.PNG,7715,,,
nb134.PNG,2,,,
nb135.PNG,2,,,
nb136.PNG,1,,,
nb138.PNG,0,,,
nb140.PNG,70 dt,,,
nb141.PNG,950,,,
nb142.PNG,140,,,
nb143.PNG,0.5,,,
nb144.PNG,2687,,,
nb145.PNG,23,,,
nb146.PNG,3,,,
nb147.PNG,70.21,,,
nb148.PNG,83.548,,,
nb149.PNG,500,,,
nb150.PNG,11282,,,
101.PNG,Mr Filali Med,,,
102.PNG,Docteur AzoulAy,,,
103.PNG,Madame DuPont Marie,,,
104.PNG,Faire au laboratoire,,,
105.PNG,NFS,,,
107.PNG,Glycimie,,,
108.PNG,Rapport Medical,,,
109.PNG,21/10/2014,,,
111.PNG,Myriem Matticen,,,
112.PNG,Dr Kirti Chhapia,,,
113.PNG,Hajri,,,
116.PNG,Zakia Hosni,,,
117.PNG,Aloui Ridha,,,
118.PNG,Amel,,,
119.PNG,Samir trabelsi,,,
120.PNG,Solicare,,,
121.PNG,chenaoui khaled,,,
123.PNG,Dricod,,,
124.PNG,Eoliote,,,
126.PNG,matin,,,
128.PNG,Zoughi,,,
129.PNG,Fathia jelassi,,,
130.PNG,hamadi,,,
131.PNG,9/1/2025,,,
132.PNG,ouallia radlue,,,
133.PNG,gouttes,,,
134.PNG,le soir,,,
135.PNG,Sami chattoui,,,
